-Setting-
aaa,default,90,Mitr
a,dark,100,Kanit
VehicleStaff,default,100,Kanit
aaaaa,default,90,Kanit
admin,default,100,Kanit
aaaaaa,default,125,Kanit
senpai,default,100,Kanit
aaaa,default,100,Mitr
-Theme-List-
a,#011627FF,#011627FF,#011627FF,#011627FF,#011627FF,#011627FF,#011627FF
default,#011627FF,#FFFFFFFF,#011627FF,#F7F7F7FF,#E6E6E6FF,#F2F2F2FF,#E6E6E6FF
dark,#000C15FF,#FFFFFFFF,#FFFFFFFF,#011627FF,#1B3A54FF,#1B3A54FF,#1B3A54FF
admin,#011627FF,#FFFFFFFF,#011627FF,#F7F7F7FF,#E6E6E6FF,#F2F2F2FF,#E6E6E6FF
